,Year,Rider,Rank,Time,DistanceKilometer,PersonalAvgPace,Hours,Minutes,Seconds,Team,RiderNumber,TotalSeconds,Gap,Bonus,Points,NumberStages,ListedAvgPace
0,2021,TADEJ POGAČAR,1,82h 56' 36'',3383,0.0,82,56,36,UAE TEAM EMIRATES,1,298596,-,36',,42,41.17
1,2021,JONAS VINGEGAARD,2,83h 01' 56'',3383,0.0,83,1,56,JUMBO - VISMA,18,298916,+ 00h 05' 20'',12',,42,41.17
2,2021,RICHARD CARAPAZ,3,83h 03' 39'',3383,0.0,83,3,39,INEOS GRENADIERS,22,299019,+ 00h 07' 03'',08',,42,41.17
3,2021,BEN O'CONNOR,4,83h 06' 38'',3383,0.0,83,6,38,AG2R CITROEN TEAM,124,299198,+ 00h 10' 02'',10',,42,41.17
4,2021,WILCO KELDERMAN,5,83h 06' 49'',3383,0.0,83,6,49,BORA - HANSGROHE,73,299209,+ 00h 10' 13'',,,42,41.17
5,2021,ENRIC MAS NICOLAU,6,83h 08' 19'',3383,0.0,83,8,19,MOVISTAR TEAM,65,299299,+ 00h 11' 43'',,,42,41.17
6,2021,ALEXEY LUTSENKO,7,83h 08' 59'',3383,0.0,83,8,59,ASTANA - PREMIER TECH,188,299339,+ 00h 12' 23'',,,42,41.17
7,2021,GUILLAUME MARTIN,8,83h 12' 09'',3383,0.0,83,12,9,COFIDIS,91,299529,+ 00h 15' 33'',,,42,41.17
8,2021,PEIO BILBAO LOPEZ DE ARMENTIA,9,83h 12' 40'',3383,0.0,83,12,40,BAHRAIN VICTORIOUS,162,299560,+ 00h 16' 04'',,,42,41.17
9,2021,RIGOBERTO URAN,10,83h 15' 10'',3383,0.0,83,15,10,EF EDUCATION - NIPPO,111,299710,+ 00h 18' 34'',,,42,41.17
10,2021,DAVID GAUDU,11,83h 18' 26'',3383,0.0,83,18,26,GROUPAMA - FDJ,81,299906,+ 00h 21' 50'',,,42,41.17
11,2021,MATTIA CATTANEO,12,83h 21' 34'',3383,0.0,83,21,34,DECEUNINCK - QUICK - STEP,54,300094,+ 00h 24' 58'',06',,42,41.17
12,2021,JHOAN ESTEBAN CHAVES RUBIO,13,83h 34' 24'',3383,0.0,83,34,24,TEAM BIKEEXCHANGE,172,300864,+ 00h 37' 48'',,,42,41.17
13,2021,LOUIS MEINTJES,14,83h 34' 45'',3383,0.0,83,34,45,INTERMARCHE - WANTY - GOBERT MATERIAUX,211,300885,+ 00h 38' 09'',,,42,41.17
14,2021,AURÉLIEN PARET PEINTRE,15,83h 35' 45'',3383,0.0,83,35,45,AG2R CITROEN TEAM,125,300945,+ 00h 39' 09'',,,42,41.17
15,2021,WOUTER POELS,16,83h 47' 11'',3383,0.0,83,47,11,BAHRAIN VICTORIOUS,166,301631,+ 00h 50' 35'',06',,42,41.17
16,2021,DYLAN TEUNS,17,83h 48' 16'',3383,0.0,83,48,16,BAHRAIN VICTORIOUS,167,301696,+ 00h 51' 40'',18',,42,41.17
17,2021,RUBEN GUERREIRO,18,83h 50' 46'',3383,0.0,83,50,46,EF EDUCATION - NIPPO,113,301846,+ 00h 54' 10'',,,42,41.17
18,2021,WOUT VAN AERT,19,83h 53' 38'',3383,0.0,83,53,38,JUMBO - VISMA,12,302018,+ 00h 57' 02'',34',,42,41.17
19,2021,BAUKE MOLLEMA,20,83h 58' 54'',3383,0.0,83,58,54,TREK - SEGAFREDO,44,302334,+ 01h 02' 18'',27',,42,41.17
20,2021,SERGIO LUIS HENAO MONTOYA,21,83h 59' 48'',3383,0.0,83,59,48,TEAM QHUBEKA NEXTHASH,191,302388,+ 01h 03' 12'',,,42,41.17
21,2021,FRANCK BONNAMOUR,22,84h 01' 11'',3383,0.0,84,1,11,B&B HOTELS P/B KTM,223,302471,+ 01h 04' 35'',,,42,41.17
